step,epoch,train_loss,eval_loss
1,1.0,10.734554290771484,
2,2.0,10.734912872314453,
2,2.0,,10.736881256103516
3,3.0,10.734628677368164,
4,4.0,10.735532760620117,
4,4.0,,10.736878395080566
5,5.0,10.735457420349121,
6,6.0,10.735050201416016,
6,6.0,,10.73687744140625
6,6.0,,10.73687744140625
