step,epoch,train_loss,eval_loss
1,1.0,10.734554290771484,
2,2.0,10.734912872314453,
2,2.0,,10.736881256103516
3,3.0,10.734627723693848,
4,4.0,10.735532760620117,
4,4.0,,10.736878395080566
5,5.0,10.735453605651855,
6,6.0,10.7350492477417,
6,6.0,,10.736875534057617
7,7.0,10.731958389282227,
8,8.0,10.734638214111328,
8,8.0,,10.736875534057617
8,8.0,,10.736875534057617
