step,epoch,train_loss,eval_loss
1,1.0,10.73549747467041,
2,2.0,10.73498249053955,
2,2.0,,10.7368803024292
3,3.0,10.734193801879883,
4,4.0,10.7337064743042,
4,4.0,,10.736878395080566
5,5.0,10.733393669128418,
6,6.0,10.734814643859863,
6,6.0,,10.736878395080566
7,7.0,10.735394477844238,
8,8.0,10.735695838928223,
8,8.0,,10.736878395080566
8,8.0,,10.736878395080566
