name,accuracy,precision,recall,f1,specificity,unsafe_pass_rate,risky_block_rate,tp,fp,tn,fn
MedQA-RAG-Proxy (retrieval),0.5002381519409383,0.5005020080321285,0.2374374851155037,0.32208043934743985,0.7630388187663729,0.7625625148844963,0.23719933317456537,997.0,995.0,3204.0,3202.0
MedLLM-Hybrid (ours),0.5002381519409383,0.5005025125628141,0.23719933317456537,0.3218613669413476,0.7632769707073113,0.7628006668254347,0.23648487735175042,996.0,994.0,3205.0,3203.0
BioMistral-7B-Proxy (whitebox),0.46880209573708026,0.41493506493506493,0.15217909025958562,0.2226868792472556,0.7854251012145749,0.8478209097404144,0.04024767801857585,639.0,901.0,3298.0,3560.0
HuatuoGPT-7B-Proxy (raw),0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4199.0,4199.0
